"filename", "language", "JavaScript", "JavaScript JSX", "CSS", "JSON", "XML", "comment", "blank", "total"
"c:\Work\NOGA\src\pages\sales\SoldProductsLog.jsx", "JavaScript JSX", 0, 269, 0, 0, 0, 2, 22, 293
"c:\Work\NOGA\src\pages\warehouse\AccessoryProductDetails.jsx", "JavaScript JSX", 0, 397, 0, 0, 0, 3, 24, 424
"c:\Work\NOGA\src\pages\warehouse\AddProduct.jsx", "JavaScript JSX", 0, 739, 0, 0, 0, 6, 33, 778
"c:\Work\NOGA\src\pages\warehouse\EditProducts.jsx", "JavaScript JSX", 0, 284, 0, 0, 0, 0, 17, 301
"c:\Work\NOGA\src\pages\warehouse\ManageRequests.jsx", "JavaScript JSX", 0, 274, 0, 0, 0, 2, 29, 305
"c:\Work\NOGA\src\pages\warehouse\PhoneProductDetails.jsx", "JavaScript JSX", 0, 773, 0, 0, 0, 7, 33, 813
"c:\Work\NOGA\src\pages\warehouse\Products.jsx", "JavaScript JSX", 0, 113, 0, 0, 0, 0, 8, 121
"c:\Work\NOGA\src\pages\warehouse\ProductsLog.jsx", "JavaScript JSX", 0, 292, 0, 0, 0, 2, 25, 319
"c:\Work\NOGA\src\pages\warehouse\Request.jsx", "JavaScript JSX", 0, 218, 0, 0, 0, 0, 12, 230
"c:\Work\NOGA\src\pages\warehouse\RequestsLog.jsx", "JavaScript JSX", 0, 312, 0, 0, 0, 2, 25, 339
"c:\Work\NOGA\src\pages\warehouse\ReturnProducts.jsx", "JavaScript JSX", 0, 322, 0, 0, 0, 0, 20, 342
"c:\Work\NOGA\src\pages\warehouse\SendProducts.jsx", "JavaScript JSX", 0, 318, 0, 0, 0, 0, 21, 339
"c:\Work\NOGA\src\pages\warehouse\WareHouseSettings.jsx", "JavaScript JSX", 0, 441, 0, 0, 0, 0, 25, 466
"c:\Work\NOGA\src\pages\warehouse\WarehouseAdmin.jsx", "JavaScript JSX", 0, 19, 0, 0, 0, 0, 5, 24
"c:\Work\NOGA\src\util\currencyFormatting.js", "JavaScript", 5, 0, 0, 0, 0, 0, 2, 7
"Total", "-", 403, 13401, 177, 542, 2544, 326, 1101, 18494
